Nome da Empresa,URL,Plataforma,Status da URL,Data de Entrada,Segmento da Empresa
Caixa Seguridade,https://trabalheconosco.vagas.com.br/caixaseguridade,Vagas,1,2026-02-19,Estratégico
Camargo Corrêa,https://trabalheconosco.vagas.com.br/camargocorra,Vagas,1,2026-02-19,Estratégico
Carrefour Brasil,https://trabalheconosco.vagas.com.br/carrefourbrasil,Vagas,1,2026-02-19,Estratégico
Casan,https://trabalheconosco.vagas.com.br/casan,Vagas,1,2026-02-19,Estratégico
Ceg (Naturgy),https://trabalheconosco.vagas.com.br/ceg,Vagas,1,2026-02-19,Estratégico
Celesc,https://trabalheconosco.vagas.com.br/celesc,Vagas,1,2026-02-19,Estratégico
Cemig,https://trabalheconosco.vagas.com.br/cemig,Vagas,1,2026-02-19,Estratégico
Cheftime,https://trabalheconosco.vagas.com.br/cheftime,Vagas,1,2026-02-19,Estratégico
Click Entregas,https://trabalheconosco.vagas.com.br/clickentregas,Vagas,1,2026-02-19,Estratégico
CloudWalk (InfinitePay),https://trabalheconosco.vagas.com.br/cloudwalk,Vagas,1,2026-02-19,Estratégico
Cocamar,https://cocamar.gupy.io,Gupy,1,2026-02-19,Estratégico
Coco Bambu,https://cocobambu.gupy.io,Gupy,1,2026-02-19,Estratégico
Comercial Zaffari,https://trabalheconosco.vagas.com.br/comercialzaffari,Vagas,1,2026-02-19,Estratégico
Condor Super Center,https://trabalheconosco.vagas.com.br/condorsupercenter,Vagas,1,2026-02-19,Estratégico
ConectCar,https://conectcar.gupy.io,Gupy,1,2026-02-19,Estratégico
Conta Azul,https://trabalheconosco.vagas.com.br/contaazul,Vagas,1,2026-02-19,Estratégico
Copacol,https://trabalheconosco.vagas.com.br/copacol,Vagas,1,2026-02-19,Estratégico
Copasa,https://trabalheconosco.vagas.com.br/copasa,Vagas,1,2026-02-19,Estratégico
Copel,https://trabalheconosco.vagas.com.br/copel,Vagas,1,2026-02-19,Estratégico
Daki,https://trabalheconosco.vagas.com.br/daki,Vagas,1,2026-02-19,Estratégico
Delivery Much,https://deliverymuch.gupy.io,Gupy,1,2026-02-19,Estratégico
Desinchá,https://trabalheconosco.vagas.com.br/desinch,Vagas,1,2026-02-19,Estratégico
Desktop,https://trabalheconosco.vagas.com.br/desktop,Vagas,1,2026-02-19,Estratégico
Dexco,https://dexco.gupy.io,Gupy,1,2026-02-19,Estratégico
Diferente,https://trabalheconosco.vagas.com.br/diferente,Vagas,1,2026-02-19,Estratégico
Direcional,https://trabalheconosco.vagas.com.br/direcional,Vagas,1,2026-02-19,Estratégico
Dock,https://dock.gupy.io,Gupy,1,2026-02-19,Estratégico
Eleva Educação,https://trabalheconosco.vagas.com.br/elevaeducao,Vagas,1,2026-02-19,Estratégico
Embaré,https://trabalheconosco.vagas.com.br/embar,Vagas,1,2026-02-19,Estratégico
Embasa,https://trabalheconosco.vagas.com.br/embasa,Vagas,1,2026-02-19,Estratégico
Eneva,https://trabalheconosco.vagas.com.br/eneva,Vagas,1,2026-02-19,Estratégico
Engie Brasil,https://trabalheconosco.vagas.com.br/engiebrasil,Vagas,1,2026-02-19,Estratégico
Eternit,https://trabalheconosco.vagas.com.br/eternit,Vagas,1,2026-02-19,Estratégico
Eu Entrego,https://trabalheconosco.vagas.com.br/euentrego,Vagas,1,2026-02-19,Estratégico
Even,https://trabalheconosco.vagas.com.br/even,Vagas,1,2026-02-19,Estratégico
