Nome da Empresa,Segmento da Empresa,score,b3,top,source
Companhia PARTICIPACOES ALIANCA DA BAHIA,Financeiro,5,True,False,brapi_quote_list
Companhia SANEAMENTO BASICO EST SAO PAULO,Energia e Utilities,5,True,False,brapi_quote_list
Companhia SANEAMENTO DE MINAS GERAIS-COPASA MG,Energia e Utilities,5,True,False,brapi_quote_list
Companhia SANEAMENTO DO PARANA - SANEPAR,Energia e Utilities,5,True,False,brapi_quote_list
Companhia SIDERURGICA NACIONAL,Indústria,5,True,False,brapi_quote_list
Companhia TECIDOS SANTANENSE,Indústria,5,True,False,brapi_quote_list
Compass Gas E Energia,Energia e Utilities,5,True,False,brapi_quote_list
Construtora Adolpho Lindenberg,Indústria,5,True,False,brapi_quote_list
Construtora Tenda,Financeiro,5,True,False,brapi_quote_list
Csn Mineração,Indústria,5,True,False,brapi_quote_list
Csu Digital,Serviços e Outros,5,True,False,brapi_quote_list
Ctax3,Serviços e Outros,5,True,False,brapi_quote_list
Ctax3F,Serviços e Outros,5,True,False,brapi_quote_list
Cury Construtora E Incorporadora,Financeiro,5,True,False,brapi_quote_list
Cyrela Brazil Realty S.A.Empreend E Part,Financeiro,5,True,False,brapi_quote_list
D1000 Varejo Farma Participações,Varejo e Consumo,5,True,False,brapi_quote_list
Dexxos Participacoes,Indústria,5,True,False,brapi_quote_list
Diagnosticos da América,Saúde,5,True,False,company_seeds_data
Dimed S.A. Distribuidora De Medicamentos,Varejo e Consumo,5,True,False,brapi_quote_list
Direcional Engenharia,Financeiro,5,True,False,brapi_quote_list
Dohler,Indústria,5,True,False,brapi_quote_list
Dtcom - Direct To Company,Energia e Utilities,5,True,False,brapi_quote_list
Dvff11,Serviços e Outros,5,True,False,brapi_quote_list
Ecorodovias Infraestrutura E Logística,Logística e Mobilidade,5,True,False,brapi_quote_list
Electro Aco Altona,Indústria,5,True,False,brapi_quote_list
Elektro Redes,Energia e Utilities,5,True,False,brapi_quote_list
Emae - Empresa Metrop.Aguas Energia,Energia e Utilities,5,True,False,brapi_quote_list
Embj3,Tecnologia,5,True,False,brapi_quote_list
