Data de Entrada,Nome da Empresa,Segmento da Empresa,Plataforma,URL,Data do Status,Status da URL
26/02/2023,DiDi (99),Tecnologia,iCIMS,https://careers-didiglobal.icims.com/jobs/search?ss=1&hashed=-625919479,27/07/2023,1
26/02/2023,Digio,Banco,Gupy,https://digio.gupy.io/,27/07/2023,1
26/02/2023,Dotz,Benefícios,Kenoby,https://jobs.kenoby.com/dotz,27/07/2023,1
26/02/2023,Ebanx,Soluções de Pagamento,Greenhouse,https://boards.greenhouse.io/ebanx,27/07/2023,1
26/02/2023,Elo,Soluções de Pagamento,Gupy,https://vempraelo.gupy.io/,27/07/2023,1
26/02/2023,Embraer,Viagens,Gupy,https://embraer.gupy.io/,27/07/2023,1
26/02/2023,EMS,Farmácia,Gupy,https://ems.gupy.io/,27/07/2023,1
26/02/2023,Energisa (Corp),Energia,Kenoby,https://jobs.kenoby.com/grupoenergisa,27/07/2023,1
26/02/2023,Energisa (Tecnologia),Energia,Kenoby,https://jobs.kenoby.com/grupoenergisatecnologia,27/07/2023,1
27/03/2022,FGV - Fundação Getulio Vargas,Ensino,Plataforma Própria,https://trabalheconosco.fgv.br/vagas,27/07/2023,1
26/02/2023,Genial Investimentos,Corretora,Gupy,https://genial.gupy.io/,27/07/2023,1
26/02/2023,Getnet,Soluções de Pagamento,Gupy,https://getnet.gupy.io/,27/07/2023,1
26/02/2023,Globo,Televisão,Gupy,https://globo.gupy.io/,27/07/2023,1
26/02/2023,GOL Linhas Aéreas,Viagens,Gupy,https://golcarreiras.gupy.io/,27/07/2023,1
26/02/2023,GPA,Varejo,Gupy,https://digitalgpa.gupy.io/,27/07/2023,1
26/02/2023,Grupo Boticário,Cosméticos,Gupy,https://grupoboticario.gupy.io/,27/07/2023,1
26/02/2023,Grupo Carrefour,Varejo,InfoJobs,https://corporativo-grupocarrefourbrasil.pandape.infojobs.com.br/,27/07/2023,1
26/02/2023,Grupo L'Occitane,Cosméticos,Gupy,https://sejaloccitane.gupy.io/,27/07/2023,1
26/02/2023,Gupy,Recrutamento,Gupy,https://vempra.gupy.io/,27/07/2023,1
26/02/2023,Habib's,Restaurante,Gupy,https://habibs.gupy.io/,27/07/2023,0
26/02/2023,Hering,Varejo,Kenoby,https://jobs.kenoby.com/ciahering,27/07/2023,1
26/02/2023,Hotmart,Tecnologia,Kenoby,https://jobs.kenoby.com/hotmart,27/07/2023,1
27/03/2022,Intel,Tecnologia,Plataforma Própria,https://jobs.intel.com/en/search-jobs?k=&l=&orgIds=599,27/07/2023,1
26/02/2023,Itaú,Banco,Gupy,https://vemproitau.gupy.io/,27/07/2023,1
26/02/2023,KPMG,Consultoria,Kenoby,https://jobs.kenoby.com/Kpmg,27/07/2023,1
26/02/2023,Livelo,Recompensas,Gupy,https://livelo.gupy.io/,27/07/2023,1
26/02/2023,Localiza,Locação,Kenoby,https://jobs.kenoby.com/localiza/,27/07/2023,1
26/02/2023,Localiza,Locação,Gupy,https://localizavagas.gupy.io/,27/07/2023,0
